nome,propprivado,proppublico,proppolitico,propecono
jose maria whitaker  ,"0,935","0,043","0,022",0
oswaldo euclydes de souza aranha  ,"0,462","0,231","0,308",0
artur de souza costa  ,"0,920","0,080","0,000",0
jose pires do rio  ,"0,628","0,256","0,116",0
gastao vidigal  ,"0,809","0,128","0,064",0
pedro luis correia e castro  ,"0,667","0,208","0,125",0
manoel guilherme da silveira filho  ,"0,875","0,125","0,000",0
horacio lafer  ,"0,743","0,000","0,200","0,057"
oswaldo euclydes de souza aranha  ,"0,459","0,432","0,108",0
eugenio gudin  ,"0,817","0,070","0,000","0,113"
jose maria whitaker  ,"0,915","0,064","0,021",0
mario leopoldo pereira da camara  ,"0,000","0,250","0,750",0
jose maria alkimim  ,"0,345","0,310","0,310","0,034"
lucas lopes  ,"0,222","0,667","0,000","0,111"
sebastiao paes de almeida,"0,852","0,148","0,000",0
clemente mariani bittencourt  ,"0,811","0,068","0,122",0
walter moreira salles  ,"0,846","0,154","0,000",0
miguel calmon du pin e almeida sobrinho  ,"0,900","0,025","0,075",0
francisco clementino de san tiago dantas  ,"0,879","0,030","0,091",0
carlos alberto alves de carvalho pinto  ,"0,000","0,368","0,211","0,421"
ney neves galvao  ,"0,949","0,051","0,000",0
