nome,propprivado,proppublico,proppolitico,propecono
ruy barbosa ,"0,750","0,000","0,250",0
tristao de alencar araripe,"0,000","0,261","0,739",0
henrique pereira de lucena,"0,000","0,333","0,667",0
francisco de paula rodrigues alves  ,"0,679","0,000","0,321",0
inocencio serzedelo correa  ,"0,000","0,625","0,375",0
felisbello firmo de oliveira freire  ,"0,750","0,000","0,250",0
francisco de paula rodrigues alves  ,"0,528","0,056","0,417",0
bernardino jose de campos  ,"0,596","0,000","0,404",0
joaquim duarte murtinho  ,"0,793","0,034","0,172",0
sabino alves barroso junior  ,"0,000","0,167","0,833",0
jose leopoldo de bulhoes jardim  ,"0,158","0,000","0,842",0
david morethson campista  ,"0,250","0,375","0,375",0
jose leopoldo de bulhoes jardim  ,"0,125","0,208","0,667",0
francisco antonio de salles  ,"0,136","0,227","0,636",0
rivadavia da cunha correa  ,"0,318","0,136","0,545",0
sabino alves barroso junior  ,"0,000","0,136","0,864",0
joao pandia callogeras  ,"0,286","0,071","0,643",0
antonio carlos ribeiro de andrada  ,"0,469","0,125","0,375","0,031"
amaro bezerra cavalcanti de albuquerque  ,"0,400","0,486","0,114",0
joao ribeiro de oliveira e sousa  ,"0,846","0,154","0,000",0
homero baptista  ,"0,636","0,121","0,242",0
rafael de abreu sampaio vidal  ,"0,375","0,250","0,375",0
annibal freire da fonseca  ,"0,833","0,033","0,133",0
getulio dornelles vargas  ,"0,350","0,000","0,650",0
francisco chaves de oliveira botelho  ,"0,324","0,000","0,676",0
